wavelength_um,n_real,k_imag
2.767,1.132778,8.352000e-02
2.78,1.130913,9.285000e-02
2.786,1.127959,1.020000e-01
2.793,1.127558,1.119000e-01
2.799,1.129478,1.210000e-01
2.812,1.128413,1.312000e-01
2.818,1.125532,1.422000e-01
2.825,1.125351,1.541000e-01
2.831,1.127523,1.670000e-01
2.838,1.133346,1.798000e-01
2.851,1.142386,1.940000e-01
2.858,1.145545,2.060000e-01
2.864,1.152284,2.182000e-01
2.871,1.162372,2.290000e-01
2.884,1.178446,2.392000e-01
2.891,1.185419,2.493000e-01
2.897,1.195889,2.581000e-01
2.904,1.208002,2.647000e-01
2.917,1.229654,2.715000e-01
2.924,1.240033,2.759000e-01
2.931,1.252073,2.798000e-01
2.938,1.263935,2.804000e-01
2.951,1.285942,2.824000e-01
2.958,1.297762,2.817000e-01
2.965,1.307891,2.785000e-01
2.979,1.326310,2.759000e-01
2.985,1.334533,2.721000e-01
2.999,1.352917,2.721000e-01
3.048,1.411876,2.398000e-01
3.097,1.452013,1.918000e-01
3.148,1.466753,1.348000e-01
3.199,1.461522,9.243000e-02
3.251,1.449409,6.106000e-02
3.304,1.432585,3.688000e-02
3.35,1.417064,2.611000e-02
3.396,1.404875,1.949000e-02
3.451,1.393260,1.321000e-02
3.499,1.384213,9.393000e-03
3.548,1.376092,6.789000e-03
3.597,1.368863,5.150000e-03
3.648,1.362546,4.234000e-03
3.698,1.356937,3.596000e-03
3.75,1.351891,3.402000e-03
3.802,1.347393,3.402000e-03
3.846,1.343958,3.530000e-03
3.899,1.340174,3.800000e-03
3.954,1.336658,4.157000e-03
3.999,1.333929,4.600000e-03
4.046,1.331403,5.067000e-03
4.102,1.328504,5.621000e-03
4.15,1.326183,6.220000e-03
4.198,1.323997,6.883000e-03
4.246,1.321906,7.600000e-03
4.295,1.319948,8.449000e-03
4.345,1.318113,9.307000e-03
4.395,1.316398,1.030000e-02
4.446,1.314920,1.140000e-02
4.498,1.313587,1.238000e-02
4.55,1.312483,1.361000e-02
4.603,1.311785,1.472000e-02
4.645,1.311588,1.548000e-02
4.699,1.311451,1.570000e-02
4.753,1.311148,1.552000e-02
4.797,1.310657,1.499000e-02
4.853,1.309721,1.441000e-02
4.898,1.308720,1.370000e-02
4.955,1.307228,1.312000e-02
5,1.305885,1.241000e-02
